ao_hechos;mes_hechos;fecha_hechos;delito;categoria_delito;fiscalia;agencia;unidad_investigacion;alcaldia_hechos;colonia_hechos;ao_inicio;mes_inicio;fecha_inicio;calle_hechos;calle_hechos2;longitud;latitud;geopoint
2019;Mayo;2019-05-08 11:40;LESIONES INTENCIONALES POR ARMA BLANCA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-9;UI-2SD;IZTAPALAPA;REFORMA POLÍTICA;2019;Mayo;2019-05-08 17:04;ERMITA IZTAPALAPA;REFORMA AERONAUTICA;-99.0279603800925;19.3443550987144;19.3443550987,-99.0279603801
2019;Mayo;2019-05-07 22:00;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;JUZGADOS FAMILIARES;75TER;2 S/D;COYOACAN;CULHUACÁN CTM SECCIÓN IX;2019;Mayo;2019-05-08 17:26;1ER RETORNO DE ROSARIO CASTELLANOS;NA;-99.1043554002742;19.3094420971706;19.3094420972,-99.1043554003
2019;Mayo;2019-05-08 16:10;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN MAGDALENA CONTRERAS;MC-2;UI-2CD;LA MAGDALENA CONTRERAS;SAN NICOLÁS TOTOLAPAN;2019;Mayo;2019-05-08 17:32;PRIVADA  CAPULINES;JACARANDAS;-99.2454718566558;19.2911281428872;19.2911281429,-99.2454718567
2019;Mayo;2019-05-08 13:30;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN XOCHIMILCO;XO-2;UI-1SD;XOCHIMILCO;SAN LORENZO ATEMOAYA;2019;Mayo;2019-05-08 17:32;AV. 16 DE SEPTIEMBRE;CAMINO VIEJO A SAN LUCAS;-99.1047174998996;19.2481529978257;19.2481529978,-99.1047174999
2019;Mayo;2019-05-07 16:00;DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN AZCAPOTZALCO;AZ-4;UI-2SD;AZCAPOTZALCO;CENTRO DE AZCAPOTZALCO;2019;Mayo;2019-05-08 17:33;ESPERANZA;BELISARIO DOMINGUEZ Y RAYON;-99.1846107076661;19.4821468317247;19.4821468317,-99.1846107077
2019;Mayo;2019-05-06 19:00;ROBO DE MOTOCICLETA CON VIOLENCIA;ROBO DE VEHÍCULO CON Y SIN VIOLENCIA;INVESTIGACIÓN EN MIGUEL HIDALGO;MH-1;UI-1SD;MIGUEL HIDALGO;TLAXPANA;2019;Mayo;2019-05-08 17:35;AV MARINA NACIONAL;NA;-99.17127090019;19.4370736013561;19.4370736014,-99.1712709002
2019;Mayo;2019-05-08 10:00;AMENAZAS;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-6;UI-2CD;IZTAPALAPA;LOMAS DE SAN LORENZO;2019;Mayo;2019-05-08 17:44;AVENIDA REFORMA;NA;-99.0708354554421;19.3236410715048;19.3236410715,-99.0708354554
2019;Abril;2019-04-10 10:00;USURPACIÓN DE IDENTIDAD;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN TLALPAN;TLP-2;UI-2CD;TLALPAN;SANTO TOMAS AJUSCO;2019;Mayo;2019-05-08 17:45;CERRADA DE ENCINOS;NA;-99.2110831003907;19.2141045023072;19.2141045023,-99.2110831004
2019;Mayo;2019-05-07 17:00;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAUHTEMOC;CUH-2;UI-2SD;CUAUHTEMOC;GUERRERO;2019;Mayo;2019-05-08 17:52;ALLENDE;NA;-99.1366368683756;19.448432665097;19.4484326651,-99.1366368684
2019;Mayo;2019-05-07 23:15;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN BENITO JUÁREZ;BJ-3;UI-2SD;BENITO JUAREZ;PIEDAD NARVARTE;2019;Mayo;2019-05-08 17:53;AVENDIA OBRERO MUNDIAL;AVENIDA CUAUHTEMOC;-99.1554770000518;19.4018842996261;19.4018842996,-99.1554770001
2019;Mayo;2019-05-07 17:00;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN AZCAPOTZALCO;AZ-1;UI-2SD;AZCAPOTZALCO;SANTA BÁRBARA;2019;Mayo;2019-05-08 17:59;CORREGIDORA;ESCANDON;-99.1801638929785;19.4961983492081;19.4961983492,-99.180163893
2019;Abril;2019-04-25 18:00;DESPOJO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-9;UI-2SD;IZTAPALAPA;ACULCO;2019;Mayo;2019-05-08 18:01;SINALOA;NA;-99.1031803995959;19.3771007962842;19.3771007963,-99.1031803996
2019;Abril;2019-04-27 22:20;DAÑO EN PROPIEDAD AJENA INTENCIONAL;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAJIMALPA;CJ-1;UI-1SD;CUAJIMALPA DE MORELOS;SAN JOSÉ DE LOS CEDROS;2019;Mayo;2019-05-08 18:01;PINO;NA;-99.2886795948607;19.3714843665986;19.3714843666,-99.2886795949
2019;Mayo;2019-05-07 11:45;ROBO DE MOTOCICLETA SIN VIOLENCIA;ROBO DE VEHÍCULO CON Y SIN VIOLENCIA;INVESTIGACIÓN EN BENITO JUÁREZ;BJ-1;UI-1SD;BENITO JUAREZ;NOCHEBUENA;2019;Mayo;2019-05-08 18:04;ATLANTA;BOSTON;-99.1785943998239;19.3803569017283;19.3803569017,-99.1785943998
2019;Mayo;2019-05-08 09:45;LESIONES INTENCIONALES POR ARMA BLANCA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-8;UI-2CD;IZTAPALAPA;LOMAS DE SAN LORENZO;2019;Mayo;2019-05-08 18:06;AV. REFORMA;NA;-99.0683772002352;19.3216059006444;19.3216059006,-99.0683772002
2019;Mayo;2019-05-06 10:45;LESIONES INTENCIONALES POR GOLPES;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN GUSTAVO A. MADERO;GAM-8;UI-2SD;GUSTAVO A MADERO;INFONAVIT CAMINO SAN JUAN DE ARAGON;2019;Mayo;2019-05-08 18:13;ANDADOR ESPIGON;NA;-99.0824578997994;19.4731732982853;19.4731732983,-99.0824578998
2018;Junio;2018-06-01 17:00;VIOLACION EQUIPARADA;VIOLACIÓN;INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES;FDS-6;FDS-6-02;LA MAGDALENA CONTRERAS;EL TORO;2019;Mayo;2019-05-08 18:14;CAMELIA;NA;-99.2470343470681;19.3132169316997;19.3132169317,-99.2470343471
2019;Mayo;2019-05-08 11:52;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN MIGUEL HIDALGO;MH-2;UI-1SD;MIGUEL HIDALGO;CUAUHTÉMOC PENSIL;2019;Mayo;2019-05-08 18:20;DANIEL  CABRERA;LAGO  NAUR;-99.1941435480703;19.4462330048953;19.4462330049,-99.1941435481
2019;Mayo;2019-05-08 14:30;AMENAZAS;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAUHTEMOC;CUH-4;UI-2SD;CUAUHTEMOC;CENTRO;2019;Mayo;2019-05-08 18:27;AV. JUAREZ;NA;-99.1488637996509;19.4355103020321;19.435510302,-99.1488637997
2019;Mayo;2019-05-08 15:30;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN MIGUEL HIDALGO;MH-1;UI-1SD;MIGUEL HIDALGO;UN HOGAR PARA NOSOTROS;2019;Mayo;2019-05-08 18:36;SALVADOR DIAZ MIRON;JOSE PARRES;-99.1711756156166;19.4509344048845;19.4509344049,-99.1711756156
2019;Mayo;2019-05-06 01:00;AMENAZAS;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN COYOACÁN;COY-4;UI-2SD;COYOACAN;PEDREGAL DE SANTO DOMINGO;2019;Mayo;2019-05-08 18:37;TOLTECAS;NA;-99.1628026418672;19.3230939165738;19.3230939166,-99.1628026419
